Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SIMSVILLE,"1,470,000","1,248.62","1,177",Feb-24,GEYLANG EAST AVENUE 2,Resale,Strata,116,"12,672",-,Condominium,1,99 yrs lease commencing from 1994,14,Rest of Central Region,01 to 05
THE GLYNDEBOURNE,"7,338,000","3,562.88","2,060",Feb-24,TREVOSE CRESCENT,Resale,Strata,331,"22,169",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
D'WEAVE,"890,000",548.96,"1,621",Feb-24,LORONG 39 GEYLANG,Resale,Strata,51,"17,451",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
EIGHT RIVERSUITES,"1,750,000",979.52,"1,787",Feb-24,WHAMPOA EAST,Resale,Strata,91,"19,231",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,21 to 25
WATTEN HOUSE,"3,212,000",990.29,"3,244",Jan-24,SHELFORD ROAD,New Sale,Strata,92,"34,913",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
10 EVELYN,"2,060,000",742.72,"2,774",Jan-24,EVELYN ROAD,New Sale,Strata,69,"29,855",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
THE VENUE RESIDENCES,"1,550,000",850.36,"1,823",Jan-24,TAI THONG CRESCENT,Resale,Strata,79,"19,620",-,Apartment,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05
EURO-ASIA PARK,"2,450,000","1,420.85","1,724",Jan-24,WOODLEIGH CLOSE,Resale,Strata,132,"18,561",-,Condominium,1,Freehold,13,Rest of Central Region,01 to 05
METRO LOFT,"668,000",452.09,"1,478",Jan-24,LORONG 27 GEYLANG,Resale,Strata,42,"15,905",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
PARK COLONIAL,"998,000",462.85,"2,156",Jan-24,WOODLEIGH LANE,Resale,Strata,43,"23,209",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,06 to 10
GEM RESIDENCES,"1,100,000",570.49,"1,928",Jan-24,LORONG 5 TOA PAYOH,Resale,Strata,53,"20,755",-,Condominium,1,99 yrs lease commencing from 2015,12,Rest of Central Region,31 to 35
THE NAVIAN,"1,248,000",667.37,"1,870",Jan-24,JALAN EUNOS,Resale,Strata,62,"20,129",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
EUHABITAT,"1,282,800",904.18,"1,419",Jan-24,JALAN EUNOS,Resale,Strata,84,"15,271",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
EAST SHINE,"1,450,000",979.52,"1,480",Jan-24,LORONG MELAYU,Resale,Strata,91,"15,934",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
BARTLEY RIDGE,"1,500,000",861.12,"1,742",Jan-24,MOUNT VERNON ROAD,Resale,Strata,80,"18,750",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05
DAKOTA RESIDENCES,"1,830,000","1,022.58","1,790",Jan-24,DAKOTA CRESCENT,Resale,Strata,95,"19,263",-,Condominium,1,99 yrs lease commencing from 2007,14,Rest of Central Region,16 to 20
THE POIZ RESIDENCES,"1,120,000",527.44,"2,123",Jan-24,MEYAPPA CHETTIAR ROAD,Resale,Strata,49,"22,857",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,06 to 10
THE ARCADY AT BOON KENG,"1,718,000",678.13,"2,533",Jan-24,SAINT BARNABAS LANE,New Sale,Strata,63,"27,270",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
ENCHANTÉ,"2,764,100","1,001.05","2,761",Jan-24,EVELYN ROAD,New Sale,Strata,93,"29,722",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
ROCHELLE AT NEWTON,"3,380,000","1,786.82","1,892",Jan-24,KENG LEE ROAD,Resale,Strata,166,"20,361",-,Condominium,1,99 yrs lease commencing from 2008,11,Core Central Region,21 to 25
SIMS EDGE,"940,000",581.26,"1,617",Jan-24,GEYLANG EAST AVENUE 2,Resale,Strata,54,"17,407",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
THE VINES,"1,600,000","1,173.28","1,364",Jan-24,LORONG SARINA,Resale,Strata,109,"14,679",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
STARVILLE,"2,180,000","1,539.25","1,416",Jan-24,LENGKONG TIGA,Resale,Strata,143,"15,245",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
OKIO,"785,000",430.56,"1,823",Jan-24,BALESTIER ROAD,Resale,Strata,40,"19,625",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
SKYSUITES17,"650,000",355.21,"1,830",Jan-24,JALAN RAJAH,Resale,Strata,33,"19,697",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
10 EVELYN,"2,096,950",753.48,"2,783",Jan-24,EVELYN ROAD,New Sale,Strata,70,"29,956",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
L'VIV,"2,180,888",990.29,"2,202",Jan-24,NEWTON ROAD,Resale,Strata,92,"23,705",-,Apartment,1,Freehold,11,Core Central Region,11 to 15
VISTA RESIDENCES,"2,400,000","1,173.28","2,046",Jan-24,JALAN DATOH,Resale,Strata,109,"22,018",-,Condominium,1,Freehold,12,Rest of Central Region,11 to 15
ATRIUM RESIDENCES,"1,405,000","1,022.58","1,374",Jan-24,LORONG 28 GEYLANG,Resale,Strata,95,"14,789",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
GAIA,"1,478,888",914.94,"1,616",Jan-24,JALAN DUSUN,Resale,Strata,85,"17,399",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
EIGHT RIVERSUITES,"2,000,000","1,076.4","1,858",Jan-24,WHAMPOA EAST,Resale,Strata,100,"20,000",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,21 to 25
