SORA Publication Date,SORA
01 Dec 2008,0.5566
02 Dec 2008,0.4617
03 Dec 2008,0.4037
04 Dec 2008,0.3532
05 Dec 2008,0.4229
09 Dec 2008,0.4872
10 Dec 2008,0.4585
11 Dec 2008,0.4026
12 Dec 2008,0.2653
15 Dec 2008,0.2662
16 Dec 2008,0.2035
17 Dec 2008,0.2368
18 Dec 2008,0.2526
19 Dec 2008,0.3071
22 Dec 2008,0.4527
23 Dec 2008,0.4959
24 Dec 2008,0.4738
26 Dec 2008,0.4497
29 Dec 2008,0.3680
30 Dec 2008,0.3878
31 Dec 2008,0.2936
02 Jan 2009,0.2586
05 Jan 2009,0.2423
06 Jan 2009,0.2030
07 Jan 2009,0.1203
08 Jan 2009,0.0901
09 Jan 2009,0.0686
12 Jan 2009,0.0758
13 Jan 2009,0.0890
14 Jan 2009,0.0767
15 Jan 2009,0.1084
16 Jan 2009,0.1243
19 Jan 2009,0.1187
20 Jan 2009,0.0651
21 Jan 2009,0.0395
22 Jan 2009,0.0549
23 Jan 2009,0.0597
28 Jan 2009,0.1283
29 Jan 2009,0.1288
30 Jan 2009,0.1498
02 Feb 2009,0.2209
03 Feb 2009,0.1263
04 Feb 2009,0.1501
05 Feb 2009,0.1152
06 Feb 2009,0.1392
09 Feb 2009,0.0867
10 Feb 2009,0.1139
11 Feb 2009,0.1053
12 Feb 2009,0.0907
13 Feb 2009,0.1196
16 Feb 2009,0.1708
17 Feb 2009,0.1969
18 Feb 2009,0.2462
19 Feb 2009,0.2306
20 Feb 2009,0.2403
23 Feb 2009,0.2607
24 Feb 2009,0.2991
25 Feb 2009,0.2540
26 Feb 2009,0.1554
27 Feb 2009,0.2122
02 Mar 2009,0.2489
03 Mar 2009,0.2183
04 Mar 2009,0.1953
05 Mar 2009,0.1535
06 Mar 2009,0.1488
09 Mar 2009,0.1551
10 Mar 2009,0.1044
11 Mar 2009,0.0736
12 Mar 2009,0.0896
13 Mar 2009,0.1445
16 Mar 2009,0.2789
17 Mar 2009,0.4539
18 Mar 2009,0.5870
19 Mar 2009,0.6316
20 Mar 2009,0.5986
23 Mar 2009,0.3018
24 Mar 2009,0.2437
25 Mar 2009,0.2244
26 Mar 2009,0.2901
27 Mar 2009,0.4609
30 Mar 2009,0.4927
31 Mar 2009,0.3195
01 Apr 2009,0.4516
02 Apr 2009,0.3179
03 Apr 2009,0.1973
06 Apr 2009,0.0820
07 Apr 2009,0.0662
08 Apr 2009,0.0436
09 Apr 2009,0.0315
13 Apr 2009,0.1158
14 Apr 2009,0.1291
15 Apr 2009,0.1862
16 Apr 2009,0.3316
17 Apr 2009,0.4716
20 Apr 2009,0.1151
21 Apr 2009,0.1060
22 Apr 2009,0.0560
23 Apr 2009,0.0401
24 Apr 2009,0.0748
27 Apr 2009,0.0720
28 Apr 2009,0.0567
29 Apr 2009,0.0420
30 Apr 2009,0.0457
04 May 2009,0.0507
05 May 2009,0.0693
06 May 2009,0.0502
07 May 2009,0.0514
08 May 2009,0.0744
11 May 2009,0.0813
12 May 2009,0.0527
13 May 2009,0.0622
14 May 2009,0.0709
15 May 2009,0.0708
18 May 2009,0.0686
19 May 2009,0.1142
20 May 2009,0.1871
21 May 2009,0.1207
22 May 2009,0.2476
25 May 2009,0.1490
26 May 2009,0.0764
27 May 2009,0.0570
28 May 2009,0.0620
29 May 2009,0.0500
01 Jun 2009,0.0590
02 Jun 2009,0.0374
03 Jun 2009,0.0364
04 Jun 2009,0.1162
05 Jun 2009,0.3605
08 Jun 2009,0.4203
09 Jun 2009,0.1642
10 Jun 2009,0.1407
11 Jun 2009,0.1445
12 Jun 2009,0.0792
15 Jun 2009,0.0522
16 Jun 2009,0.0475
17 Jun 2009,0.0694
18 Jun 2009,0.0713
19 Jun 2009,0.0858
22 Jun 2009,0.0738
23 Jun 2009,0.1346
24 Jun 2009,0.1354
25 Jun 2009,0.1665
26 Jun 2009,0.1586
29 Jun 2009,0.2420
30 Jun 2009,0.4309
01 Jul 2009,0.3021
02 Jul 2009,0.1215
03 Jul 2009,0.0978
06 Jul 2009,0.0904
07 Jul 2009,0.1017
08 Jul 2009,0.0920
09 Jul 2009,0.0848
10 Jul 2009,0.0869
13 Jul 2009,0.0882
14 Jul 2009,0.1020
15 Jul 2009,0.0878
16 Jul 2009,0.0883
17 Jul 2009,0.0960
20 Jul 2009,0.0949
21 Jul 2009,0.1029
22 Jul 2009,0.1059
23 Jul 2009,0.0925
24 Jul 2009,0.1067
27 Jul 2009,0.1541
28 Jul 2009,0.1747
29 Jul 2009,0.2163
30 Jul 2009,0.2266
