Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
GALLERY 8,"1,750,000","2,055.92",851,Aug-20,PULASAN ROAD,Resale,Strata,191,"9,162",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
RIVER ISLES,"1,100,000","1,140.98",964,Aug-20,EDGEDALE PLAINS,Resale,Strata,106,"10,377",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
MANDARIN GARDENS,"1,488,800","1,528.49",974,Aug-20,SIGLAP ROAD,Resale,Strata,142,"10,485",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,11 to 15
THE GARDENS AT BISHAN,"1,470,000","1,205.57","1,219",Aug-20,SIN MING WALK,Resale,Strata,112,"13,125",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,16 to 20
PINE GROVE,"1,595,000","1,754.53",909,Aug-20,PINE GROVE,Resale,Strata,163,"9,785",-,Condominium,1,99 yrs lease commencing from 1984,21,Rest of Central Region,11 to 15
BOTANIQUE AT BARTLEY,"990,000",656.6,"1,508",Aug-20,UPPER PAYA LEBAR ROAD,Sub Sale,Strata,61,"16,230",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,16 to 20
THE TROPICA,"1,380,000","1,517.72",909,Aug-20,TAMPINES AVENUE 1,Resale,Strata,141,"9,787",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,11 to 15
WATERFRONT ISLE,"738,888",592.02,"1,248",Aug-20,BEDOK RESERVOIR ROAD,Resale,Strata,55,"13,434",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,06 to 10
THE SEAWIND,"980,000",656.6,"1,493",Aug-20,LORONG M TELOK KURAU,Resale,Strata,61,"16,066",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
RIVER ISLES,"920,000",893.41,"1,030",Aug-20,EDGEDALE PLAINS,Resale,Strata,83,"11,084",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
HEDGES PARK CONDOMINIUM,"960,000","1,076.4",892,Aug-20,FLORA DRIVE,Resale,Strata,100,"9,600",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
MY MANHATTAN,"1,060,000",882.65,"1,201",Aug-20,SIMEI STREET 3,Resale,Strata,82,"12,927",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
WATERTOWN,"1,515,000","1,108.69","1,366",Aug-20,PUNGGOL CENTRAL,Resale,Strata,103,"14,709",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
SAVANNAH CONDOPARK,"1,170,000","1,453.14",805,Aug-20,SIMEI RISE,Resale,Strata,135,"8,667",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05
MANDARIN GARDENS,"850,000",828.83,"1,026",Aug-20,SIGLAP ROAD,Resale,Strata,77,"11,039",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,06 to 10
BOTANIQUE AT BARTLEY,"950,000",656.6,"1,447",Aug-20,UPPER PAYA LEBAR ROAD,Sub Sale,Strata,61,"15,574",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
THE MINTON,"1,583,000","1,496.2","1,058",Aug-20,HOUGANG STREET 11,Resale,Strata,139,"11,388",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
TERRENE AT BUKIT TIMAH,"1,500,000","1,001.05","1,498",Aug-20,JALAN JURONG KECHIL,Resale,Strata,93,"16,129",-,Condominium,1,999 yrs lease commencing from 1885,21,Rest of Central Region,01 to 05
D'NEST,"1,275,000","1,130.22","1,128",Aug-20,PASIR RIS GROVE,Resale,Strata,105,"12,143",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
MAYFAIR GARDENS,"1,510,740",753.48,"2,005",Aug-20,RIFLE RANGE ROAD,New Sale,Strata,70,"21,582",-,Condominium,1,99 yrs lease commencing from 2018,21,Rest of Central Region,01 to 05
COUNTRY ESQUIRE,"1,680,000","1,270.15","1,323",Aug-20,LORONG PUNTONG,Resale,Strata,118,"14,237",-,Condominium,1,Freehold,20,Rest of Central Region,06 to 10
AFFINITY AT SERANGOON,"794,000",473.62,"1,676",Aug-20,SERANGOON NORTH AVENUE 1,New Sale,Strata,44,"18,045",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE SANTORINI,"568,000",462.85,"1,227",Aug-20,TAMPINES STREET 86,Resale,Strata,43,"13,209",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,458,000",904.18,"1,613",Aug-20,SERANGOON NORTH AVENUE 1,New Sale,Strata,84,"17,357",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
FORETT AT BUKIT TIMAH,"1,967,000","1,033.34","1,904",Aug-20,TOH TUCK ROAD,New Sale,Strata,96,"20,490",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
TREASURE AT TAMPINES,"1,397,000","1,087.16","1,285",Aug-20,TAMPINES LANE,New Sale,Strata,101,"13,832",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"1,344,000","1,011.82","1,328",Aug-20,TAMPINES LANE,New Sale,Strata,94,"14,298",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,412,000","1,011.82","1,396",Aug-20,TAMPINES LANE,New Sale,Strata,94,"15,021",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
CASA AL MARE,"780,000",473.62,"1,647",Aug-20,JALAN LOYANG BESAR,New Sale,Strata,44,"17,727",-,Apartment,1,Freehold,17,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"851,200",473.62,"1,797",Aug-20,COMPASSVALE BOW,New Sale,Strata,44,"19,345",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,492,000",990.29,"1,507",Aug-20,HOUGANG AVENUE 2,New Sale,Strata,92,"16,217",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"962,000",635.08,"1,515",Aug-20,HOUGANG AVENUE 2,New Sale,Strata,59,"16,305",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE SPRINGBLOOM,"1,180,000","1,130.22","1,044",Aug-20,SERANGOON AVENUE 3,Resale,Strata,105,"11,238",-,Condominium,1,99 yrs lease commencing from 1995,19,Outside Central Region,11 to 15
BLUWATERS 2,"960,000","1,108.69",866,Aug-20,JALAN LOYANG BESAR,Resale,Strata,103,"9,320",-,Condominium,1,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05
THE ARISTO @ AMBER,"1,380,000",807.3,"1,709",Aug-20,AMBER ROAD,Resale,Strata,75,"18,400",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
BOTANIQUE AT BARTLEY,"1,118,880",731.95,"1,529",Aug-20,UPPER PAYA LEBAR ROAD,Sub Sale,Strata,68,"16,454",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
RIO VISTA,"920,000","1,248.62",737,Aug-20,UPPER SERANGOON VIEW,Resale,Strata,116,"7,931",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,01 to 05
ECO,"1,490,000","1,140.98","1,306",Aug-20,BEDOK SOUTH AVENUE 3,Resale,Strata,106,"14,057",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
MELVILLE PARK,"738,888","1,162.51",636,Aug-20,SIMEI STREET 1,Resale,Strata,108,"6,842",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,06 to 10
THE INFLORA,"1,360,000","1,463.9",929,Aug-20,FLORA DRIVE,Resale,Strata,136,"10,000",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
A TREASURE TROVE,"870,000",775.01,"1,123",Aug-20,PUNGGOL WALK,Resale,Strata,72,"12,083",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
CRYSTAL RHU,"1,900,000","1,280.92","1,483",Aug-20,TANJONG RHU ROAD,Resale,Strata,119,"15,966",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
DUNMAN VIEW,"1,370,000","1,323.97","1,035",Aug-20,HAIG ROAD,Resale,Strata,123,"11,138",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,01 to 05
BARTLEY RESIDENCES,"1,350,000","1,227.1","1,100",Aug-20,LORONG HOW SUN,Resale,Strata,114,"11,842",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
COCO PALMS,"1,688,888","1,474.67","1,145",Aug-20,PASIR RIS GROVE,Resale,Strata,137,"12,328",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
OASIS @ ELIAS,"985,000","1,248.62",789,Aug-20,ELIAS ROAD,Resale,Strata,116,"8,491",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
RIVERSAILS,"936,000",882.65,"1,060",Aug-20,UPPER SERANGOON CRESCENT,Resale,Strata,82,"11,415",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
BEDOK RESIDENCES,"815,000",538.2,"1,514",Aug-20,BEDOK NORTH DRIVE,Resale,Strata,50,"16,300",-,Apartment,1,99 yrs lease commencing from 2011,16,Outside Central Region,11 to 15
RIPPLE BAY,"550,000",484.38,"1,135",Aug-20,PASIR RIS LINK,Resale,Strata,45,"12,222",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
PARC PALAIS,"1,200,000",968.76,"1,239",Aug-20,HUME AVENUE,Resale,Strata,90,"13,333",-,Condominium,1,Freehold,21,Outside Central Region,06 to 10
BOTANIQUE AT BARTLEY,"780,000",495.14,"1,575",Aug-20,UPPER PAYA LEBAR ROAD,Sub Sale,Strata,46,"16,957",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
THE GARDEN RESIDENCES,"836,000",516.67,"1,618",Aug-20,SERANGOON NORTH VIEW,New Sale,Strata,48,"17,417",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,01 to 05
THE GARDEN RESIDENCES,"1,210,800",785.77,"1,541",Aug-20,SERANGOON NORTH VIEW,New Sale,Strata,73,"16,586",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10
DAINTREE RESIDENCE,"1,361,980",775.01,"1,757",Aug-20,TOH TUCK ROAD,New Sale,Strata,72,"18,916",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
TREASURE AT TAMPINES,"1,374,000","1,033.34","1,330",Aug-20,TAMPINES LANE,New Sale,Strata,96,"14,313",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
JADESCAPE,"962,000",527.44,"1,824",Aug-20,SHUNFU ROAD,New Sale,Strata,49,"19,633",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
TREASURE AT TAMPINES,"1,394,000","1,033.34","1,349",Aug-20,TAMPINES LANE,New Sale,Strata,96,"14,521",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
THE GARDEN RESIDENCES,"1,113,200",688.9,"1,616",Aug-20,SERANGOON NORTH VIEW,New Sale,Strata,64,"17,394",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
TREASURE AT TAMPINES,"2,115,000","1,722.24","1,228",Aug-20,TAMPINES LANE,New Sale,Strata,160,"13,219",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
FORETT AT BUKIT TIMAH,"1,044,000",624.31,"1,672",Aug-20,TOH TUCK ROAD,New Sale,Strata,58,"18,000",-,Apartment,1,Freehold,21,Rest of Central Region,06 to 10
FORETT AT BUKIT TIMAH,"1,135,000",570.49,"1,990",Aug-20,TOH TUCK ROAD,New Sale,Strata,53,"21,415",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
TREASURE AT TAMPINES,"1,423,000","1,087.16","1,309",Aug-20,TAMPINES LANE,New Sale,Strata,101,"14,089",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"966,000",678.13,"1,425",Aug-20,TAMPINES LANE,New Sale,Strata,63,"15,333",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
RIVERFRONT RESIDENCES,"2,111,112","1,485.43","1,421",Aug-20,HOUGANG AVENUE 7,New Sale,Strata,138,"15,298",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE GARDEN RESIDENCES,"1,308,900",796.54,"1,643",Aug-20,SERANGOON NORTH VIEW,New Sale,Strata,74,"17,688",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"841,600",473.62,"1,777",Aug-20,COMPASSVALE BOW,New Sale,Strata,44,"19,127",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
JADESCAPE,"1,338,888",764.24,"1,752",Aug-20,SHUNFU ROAD,New Sale,Strata,71,"18,858",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
THE FLORENCE RESIDENCES,"792,000",484.38,"1,635",Aug-20,HOUGANG AVENUE 2,New Sale,Strata,45,"17,600",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE SEAWIND,"980,000",678.13,"1,445",Aug-20,LORONG M TELOK KURAU,Resale,Strata,63,"15,556",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE GARDEN RESIDENCES,"825,600",516.67,"1,598",Aug-20,SERANGOON NORTH VIEW,New Sale,Strata,48,"17,200",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,01 to 05
THE GARDEN RESIDENCES,"1,207,100",785.77,"1,536",Aug-20,SERANGOON NORTH VIEW,New Sale,Strata,73,"16,536",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10
THE GARDEN RESIDENCES,"768,000",452.09,"1,699",Aug-20,SERANGOON NORTH VIEW,New Sale,Strata,42,"18,286",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
JADESCAPE,"1,437,500",764.24,"1,881",Aug-20,SHUNFU ROAD,New Sale,Strata,71,"20,246",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
DAINTREE RESIDENCE,"1,230,000",742.72,"1,656",Aug-20,TOH TUCK ROAD,New Sale,Strata,69,"17,826",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
JADESCAPE,"968,000",527.44,"1,835",Aug-20,SHUNFU ROAD,New Sale,Strata,49,"19,755",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
JADESCAPE,"972,000",527.44,"1,843",Aug-20,SHUNFU ROAD,New Sale,Strata,49,"19,837",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
THE JOVELL,"874,000",667.37,"1,310",Aug-20,FLORA DRIVE,New Sale,Strata,62,"14,097",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,000,000",678.13,"1,475",Aug-20,TAMPINES LANE,New Sale,Strata,63,"15,873",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
JADESCAPE,"1,380,200",764.24,"1,806",Aug-20,SHUNFU ROAD,New Sale,Strata,71,"19,439",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
AFFINITY AT SERANGOON,"797,000",473.62,"1,683",Aug-20,SERANGOON NORTH AVENUE 1,New Sale,Strata,44,"18,114",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,057,000",624.31,"1,693",Aug-20,SERANGOON NORTH AVENUE 1,New Sale,Strata,58,"18,224",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
FORETT AT BUKIT TIMAH,"1,124,000",570.49,"1,970",Aug-20,TOH TUCK ROAD,New Sale,Strata,53,"21,208",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
FORETT AT BUKIT TIMAH,"1,380,000",688.9,"2,003",Aug-20,TOH TUCK ROAD,New Sale,Strata,64,"21,563",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
TREASURE AT TAMPINES,"1,336,000","1,033.34","1,293",Aug-20,TAMPINES LANE,New Sale,Strata,96,"13,917",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"980,000",678.13,"1,445",Aug-20,TAMPINES LANE,New Sale,Strata,63,"15,556",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THE GARDEN RESIDENCES,"1,730,000","1,119.46","1,545",Aug-20,SERANGOON NORTH VIEW,New Sale,Strata,104,"16,635",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10
THE GARDEN RESIDENCES,"1,782,700","1,119.46","1,592",Aug-20,SERANGOON NORTH VIEW,New Sale,Strata,104,"17,141",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
COASTLINE RESIDENCES,"1,731,000",721.19,"2,400",Aug-20,AMBER ROAD,New Sale,Strata,67,"25,836",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
TREASURE AT TAMPINES,"989,000",678.13,"1,458",Aug-20,TAMPINES LANE,New Sale,Strata,63,"15,698",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
MAYFAIR GARDENS,"1,000,000",505.91,"1,977",Aug-20,RIFLE RANGE ROAD,New Sale,Strata,47,"21,277",-,Condominium,1,99 yrs lease commencing from 2018,21,Rest of Central Region,01 to 05
