Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
VILLA MARTIA,"1,630,000","1,280.92","1,273",Aug-20,MARTIA ROAD,Resale,Strata,119,"13,697",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
DAINTREE RESIDENCE,"1,797,850","1,076.4","1,670",Aug-20,TOH TUCK ROAD,New Sale,Strata,100,"17,979",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
THE JOVELL,"828,600",678.13,"1,222",Aug-20,FLORA DRIVE,New Sale,Strata,63,"13,152",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
D'NEST,"1,395,000","1,270.15","1,098",Aug-20,PASIR RIS GROVE,Resale,Strata,118,"11,822",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
JADESCAPE,"972,000",527.44,"1,843",Aug-20,SHUNFU ROAD,New Sale,Strata,49,"19,837",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
COCO PALMS,"645,000",462.85,"1,394",Aug-20,PASIR RIS GROVE,Resale,Strata,43,"15,000",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
RIS GRANDEUR,"1,260,000","1,356.26",929,Aug-20,ELIAS ROAD,Resale,Strata,126,"10,000",-,Condominium,1,Freehold,18,Outside Central Region,11 to 15
VILLA MARINA,"1,690,000","2,023.63",835,Aug-20,JALAN SEMPADAN,Resale,Strata,188,"8,989",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
PANDAN VALLEY,"2,695,000","2,142.04","1,258",Aug-20,PANDAN VALLEY,Resale,Strata,199,"13,543",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
JADESCAPE,"2,563,000","1,420.85","1,804",Aug-20,SHUNFU ROAD,New Sale,Strata,132,"19,417",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,21 to 25
TREASURE AT TAMPINES,"1,418,000","1,033.34","1,372",Aug-20,TAMPINES LANE,New Sale,Strata,96,"14,771",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
JADESCAPE,"1,358,800",764.24,"1,778",Aug-20,SHUNFU ROAD,New Sale,Strata,71,"19,138",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
GOLDENHILL PARK CONDOMINIUM,"2,020,000","1,313.21","1,538",Aug-20,MEI HWAN DRIVE,Resale,Strata,122,"16,557",-,Condominium,1,Freehold,20,Outside Central Region,06 to 10
WATERFRONT WAVES,"1,400,000","1,248.62","1,121",Aug-20,BEDOK RESERVOIR ROAD,Resale,Strata,116,"12,069",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,06 to 10
TANAMERA CREST,"988,000","1,205.57",820,Aug-20,PARI DEDAP WALK,Resale,Strata,112,"8,821",-,Condominium,1,99 yrs lease commencing from 2000,16,Outside Central Region,11 to 15
RIVERSOUND RESIDENCE,"1,150,000","1,162.51",989,Aug-20,SENGKANG EAST AVENUE,Resale,Strata,108,"10,648",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,051,000",635.08,"1,655",Aug-20,HOUGANG AVENUE 2,New Sale,Strata,59,"17,814",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
HIGH OAK CONDOMINIUM,"1,168,000","1,151.75","1,014",Aug-20,TOH TUCK ROAD,Resale,Strata,107,"10,916",-,Condominium,1,99 yrs lease commencing from 1996,21,Rest of Central Region,01 to 05
BAYSHORE PARK,"1,230,000","1,291.68",952,Aug-20,BAYSHORE ROAD,Resale,Strata,120,"10,250",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,16 to 20
DOUBLE BAY RESIDENCES,"1,320,000","1,270.15","1,039",Aug-20,SIMEI STREET 4,Resale,Strata,118,"11,186",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
COSTA DEL SOL,"1,620,000","1,313.21","1,234",Aug-20,BAYSHORE ROAD,Resale,Strata,122,"13,279",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
WATERFRONT ISLE,"1,220,000",947.23,"1,288",Aug-20,BEDOK RESERVOIR ROAD,Resale,Strata,88,"13,864",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,11 to 15
DE CENTURION,"875,000",570.49,"1,534",Aug-20,TANJONG RHU ROAD,Resale,Strata,53,"16,509",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
JEWEL @ BUANGKOK,"1,180,000",871.88,"1,353",Aug-20,COMPASSVALE BOW,Resale,Strata,81,"14,568",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
TRILIVE,"1,200,000",882.65,"1,360",Aug-20,TAMPINES ROAD,Resale,Strata,82,"14,634",-,Condominium,1,Freehold,19,Outside Central Region,06 to 10
PINE GROVE,"1,010,000","1,173.28",861,Aug-20,PINE GROVE,Resale,Strata,109,"9,266",-,Condominium,1,99 yrs lease commencing from 1984,21,Rest of Central Region,01 to 05
BARTLEY RESIDENCES,"690,000",462.85,"1,491",Aug-20,LORONG HOW SUN,Resale,Strata,43,"16,047",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
RIPPLE BAY,"760,000",775.01,981,Aug-20,PASIR RIS LINK,Resale,Strata,72,"10,556",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
SIGLAP V,"1,240,888",990.29,"1,253",Aug-20,FIRST STREET,Resale,Strata,92,"13,488",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE GARDENS AT BISHAN,"1,490,000","1,227.1","1,214",Aug-20,SIN MING WALK,Resale,Strata,114,"13,070",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,11 to 15
LA FIESTA,"1,300,000","1,033.34","1,258",Aug-20,SENGKANG SQUARE,Resale,Strata,96,"13,542",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
FAR HORIZON GARDENS,"950,000","1,151.75",825,Aug-20,ANG MO KIO AVENUE 9,Resale,Strata,107,"8,879",-,Condominium,1,99 yrs lease commencing from 1982,20,Outside Central Region,01 to 05
DAINTREE RESIDENCE,"1,253,240",721.19,"1,738",Aug-20,TOH TUCK ROAD,New Sale,Strata,67,"18,705",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
DAINTREE RESIDENCE,"1,302,080",742.72,"1,753",Aug-20,TOH TUCK ROAD,New Sale,Strata,69,"18,871",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
JADESCAPE,"2,081,500","1,259.39","1,653",Aug-20,SHUNFU ROAD,New Sale,Strata,117,"17,791",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,01 to 05
TREASURE AT TAMPINES,"1,434,000","1,033.34","1,388",Aug-20,TAMPINES LANE,New Sale,Strata,96,"14,938",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
WATER PLACE,"1,780,000","1,280.92","1,390",Aug-20,TANJONG RHU ROAD,Resale,Strata,119,"14,958",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,11 to 15
AMBER PARK,"1,729,600",753.48,"2,295",Aug-20,AMBER GARDENS,New Sale,Strata,70,"24,709",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
JADESCAPE,"924,900",527.44,"1,754",Aug-20,SHUNFU ROAD,New Sale,Strata,49,"18,876",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,06 to 10
THE SANTORINI,"615,000",527.44,"1,166",Aug-20,TAMPINES STREET 86,Resale,Strata,49,"12,551",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,06 to 10
RESIDENCE TWENTY-TWO,"2,030,000","1,194.8","1,699",Aug-20,TELOK KURAU ROAD,New Sale,Strata,111,"18,288",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SEASTRAND,"1,380,000","1,302.44","1,060",Aug-20,PASIR RIS LINK,Resale,Strata,121,"11,405",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
CASA ROSA,"1,628,000","2,174.33",749,Aug-20,LORONG ONG LYE,Resale,Strata,202,"8,059",-,Condominium,1,99 yrs lease commencing from 1998,19,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,432,000","1,033.34","1,386",Aug-20,TAMPINES LANE,New Sale,Strata,96,"14,917",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
JADESCAPE,"953,000",527.44,"1,807",Aug-20,SHUNFU ROAD,New Sale,Strata,49,"19,449",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,21 to 25
KOVAN RESIDENCES,"2,100,000","1,776.06","1,182",Aug-20,KOVAN ROAD,Resale,Strata,165,"12,727",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
JADESCAPE,"1,329,100",764.24,"1,739",Aug-20,SHUNFU ROAD,New Sale,Strata,71,"18,720",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,11 to 15
