Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PARC OLYMPIA,"665,000",645.84,"1,030",Aug-22,FLORA DRIVE,Resale,Strata,60,"11,083",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
91 MARSHALL,"1,860,000","1,367.03","1,361",Aug-22,MARSHALL ROAD,Resale,Strata,127,"14,646",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
CHELSEA LODGE,"1,610,000","1,227.1","1,312",Aug-22,TANJONG KATONG ROAD,Resale,Strata,114,"14,123",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LAVERNE'S LOFT,"606,000",398.27,"1,522",Aug-22,LORONG L TELOK KURAU,Resale,Strata,37,"16,378",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
AFFINITY AT SERANGOON,"820,000",473.62,"1,731",Aug-22,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,44,"18,636",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
Q BAY RESIDENCES,"1,020,000",828.83,"1,231",Aug-22,TAMPINES STREET 86,Resale,Strata,77,"13,247",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
ECO,"1,800,000","1,151.75","1,563",Aug-22,BEDOK SOUTH AVENUE 3,Resale,Strata,107,"16,822",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
THE GAZANIA,"1,555,000",699.66,"2,223",Aug-22,HOW SUN DRIVE,New Sale,Strata,65,"23,923",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
KENSINGTON SQUARE,"1,145,000",731.95,"1,564",Aug-22,JALAN LOKAM,Resale,Strata,68,"16,838",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
PASIR RIS 8,"1,491,000",721.19,"2,067",Aug-22,PASIR RIS DRIVE 8,New Sale,Strata,67,"22,254",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
TANGERINE GROVE,"1,300,000",947.23,"1,372",Aug-22,PAYA LEBAR CRESCENT,Resale,Strata,88,"14,773",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
FORETT AT BUKIT TIMAH,"1,793,000",764.24,"2,346",Aug-22,TOH TUCK ROAD,New Sale,Strata,71,"25,254",-,Apartment,1,Freehold,21,Rest of Central Region,06 to 10
THE QUARTZ,"1,295,000","1,044.11","1,240",Aug-22,COMPASSVALE BOW,Resale,Strata,97,"13,351",-,Condominium,1,99 yrs lease commencing from 2005,19,Outside Central Region,16 to 20
RIVERFRONT RESIDENCES,"1,140,000",721.19,"1,581",Aug-22,HOUGANG AVENUE 7,Sub Sale,Strata,67,"17,015",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
LA FIESTA,"1,222,888",839.59,"1,457",Aug-22,SENGKANG SQUARE,Resale,Strata,78,"15,678",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
THE PANORAMA,"1,365,000",796.54,"1,714",Aug-22,ANG MO KIO AVENUE 2,Resale,Strata,74,"18,446",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,06 to 10
SEASIDE RESIDENCES,"1,325,000",678.13,"1,954",Aug-22,SIGLAP LINK,Sub Sale,Strata,63,"21,032",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,11 to 15
EAST SIGNATURE,"1,900,000","2,012.87",944,Aug-22,ELLIOT WALK,Resale,Strata,187,"10,160",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
CARISSA PARK CONDOMINIUM,"940,000",947.23,992,Aug-22,FLORA DRIVE,Resale,Strata,88,"10,682",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
KOVAN RESIDENCES,"2,700,000","1,797.59","1,502",Aug-22,KOVAN ROAD,Resale,Strata,167,"16,168",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,16 to 20
THE YARDLEY,"1,850,000","1,323.97","1,397",Aug-22,UPPER SERANGOON ROAD,Resale,Strata,123,"15,041",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
RITZ REGENCY,"1,978,888","1,270.15","1,558",Aug-22,IPOH LANE,Resale,Strata,118,"16,770",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
THE MINTON,"1,315,000",979.52,"1,342",Aug-22,HOUGANG STREET 11,Resale,Strata,91,"14,451",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
THE BAYSHORE,"1,150,000","1,022.58","1,125",Aug-22,BAYSHORE ROAD,Resale,Strata,95,"12,105",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,16 to 20
