Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE LAKEFRONT RESIDENCES,"1,080,000","1,237.86",872,Jan-21,LAKESIDE DRIVE,Resale,Strata,115,"9,391",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"800,000",678.13,"1,180",Jan-21,FERNVALE ROAD,Resale,Strata,63,"12,698",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,01 to 05
YISHUN EMERALD,"780,888",990.29,789,Jan-21,CANBERRA DRIVE,Resale,Strata,92,"8,488",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,11 to 15
HILLION RESIDENCES,"2,950,000","2,615.65","1,128",Jan-21,JELEBU ROAD,Resale,Strata,243,"12,140",-,Apartment,1,99 yrs lease commencing from 2013,23,Outside Central Region,21 to 25
THE ESSENCE,"999,000",699.66,"1,428",Jan-21,CHONG KUO ROAD,New Sale,Strata,65,"15,369",-,Apartment,1,99 yrs lease commencing from 2018,26,Outside Central Region,01 to 05
LAKEPOINT CONDOMINIUM,"1,450,000","2,217.38",654,Jan-21,LAKEPOINT DRIVE,Resale,Strata,206,"7,039",-,Condominium,1,99 yrs lease commencing from 1983,22,Outside Central Region,01 to 05
WOODHAVEN,"660,000",699.66,943,Jan-21,WOODGROVE AVENUE,Resale,Strata,65,"10,154",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
THE LAKEFRONT RESIDENCES,"1,350,000","1,033.34","1,306",Jan-21,LAKESIDE DRIVE,Resale,Strata,96,"14,063",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,06 to 10
PARC ROSEWOOD,"523,000",430.56,"1,215",Jan-21,ROSEWOOD DRIVE,Resale,Strata,40,"13,075",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
HILLBROOKS,"1,200,000","1,097.93","1,093",Jan-21,HILLVIEW AVENUE,Resale,Strata,102,"11,765",-,Condominium,1,Freehold,23,Outside Central Region,06 to 10
THE DAIRY FARM,"1,650,000","1,280.92","1,288",Jan-21,DAIRY FARM ROAD,Resale,Strata,119,"13,866",-,Condominium,1,Freehold,23,Outside Central Region,06 to 10
GUILIN VIEW,"1,450,000","1,571.54",923,Jan-21,BUKIT BATOK STREET 52,Resale,Strata,146,"9,932",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,21 to 25
LAKESIDE APARTMENTS,"1,050,000","1,517.72",692,Jan-21,YUAN CHING ROAD,Resale,Strata,141,"7,447",-,Apartment,1,99 yrs lease commencing from 1977,22,Outside Central Region,01 to 05
WOODHAVEN,"650,000",635.08,"1,023",Jan-21,WOODGROVE AVENUE,Resale,Strata,59,"11,017",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
NORTH PARK RESIDENCES,"1,330,000",828.83,"1,605",Jan-21,YISHUN CENTRAL 1,Sub Sale,Strata,77,"17,273",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
HAZEL PARK CONDOMINIUM,"1,375,000","1,334.74","1,030",Jan-21,HAZEL PARK TERRACE,Resale,Strata,124,"11,089",-,Condominium,1,999 yrs lease commencing from 1882,23,Outside Central Region,01 to 05
REGENT GROVE,"800,000","1,162.51",688,Jan-21,CHOA CHU KANG NORTH 7,Resale,Strata,108,"7,407",-,Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"1,050,000",850.36,"1,235",Jan-21,FERNVALE ROAD,Resale,Strata,79,"13,291",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,21 to 25
MI CASA,"1,238,000","1,291.68",958,Jan-21,CHOA CHU KANG AVENUE 3,Resale,Strata,120,"10,317",-,Condominium,1,99 yrs lease commencing from 2008,23,Outside Central Region,06 to 10
THE CALROSE,"2,030,000","2,206.62",920,Jan-21,YIO CHU KANG ROAD,Resale,Strata,205,"9,902",-,Condominium,1,Freehold,26,Outside Central Region,01 to 05
THE MILTONIA RESIDENCES,"828,000",861.12,962,Jan-21,MILTONIA CLOSE,Resale,Strata,80,"10,350",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
NORTHVALE,"925,000","1,270.15",728,Jan-21,CHOA CHU KANG LOOP,Resale,Strata,118,"7,839",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,11 to 15
PARC ROSEWOOD,"530,000",527.44,"1,005",Jan-21,ROSEWOOD DRIVE,Resale,Strata,49,"10,816",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
J GATEWAY,"1,580,000",893.41,"1,769",Jan-21,GATEWAY DRIVE,Resale,Strata,83,"19,036",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,26 to 30
THE SKYWOODS,"1,280,000",947.23,"1,351",Jan-21,DAIRY FARM HEIGHTS,Resale,Strata,88,"14,545",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,06 to 10
THE MAYFAIR,"1,035,000","1,227.1",843,Jan-21,JURONG EAST STREET 32,Resale,Strata,114,"9,079",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,06 to 10
MI CASA,"1,170,000","1,323.97",884,Jan-21,CHOA CHU KANG AVENUE 3,Resale,Strata,123,"9,512",-,Condominium,1,99 yrs lease commencing from 2008,23,Outside Central Region,06 to 10
PALM GARDENS,"770,000","1,205.57",639,Jan-21,HONG SAN WALK,Resale,Strata,112,"6,875",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,01 to 05
MI CASA,"1,150,000","1,237.86",929,Jan-21,CHOA CHU KANG AVENUE 3,Resale,Strata,115,"10,000",-,Condominium,1,99 yrs lease commencing from 2008,23,Outside Central Region,11 to 15
REGENT HEIGHTS,"840,000","1,173.28",716,Jan-21,BUKIT BATOK EAST AVENUE 5,Resale,Strata,109,"7,706",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,06 to 10
TREE HOUSE,"915,000",947.23,966,Jan-21,CHESTNUT AVENUE,Resale,Strata,88,"10,398",-,Condominium,1,99 yrs lease commencing from 2009,23,Outside Central Region,21 to 25
NIM GARDENS,"1,660,000","1,829.88",907,Jan-21,NIM ROAD,Resale,Strata,170,"9,765",-,Condominium,1,Freehold,28,Outside Central Region,06 to 10
MAYSPRINGS,"755,000",807.3,935,Jan-21,PETIR ROAD,Resale,Strata,75,"10,067",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,16 to 20
J GATEWAY,"866,000",495.14,"1,749",Jan-21,GATEWAY DRIVE,Resale,Strata,46,"18,826",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,11 to 15
LAKEHOLMZ,"965,000","1,001.05",964,Jan-21,CORPORATION ROAD,Resale,Strata,93,"10,376",-,Condominium,1,99 yrs lease commencing from 2001,22,Outside Central Region,16 to 20
NATURA@HILLVIEW,"610,000",452.09,"1,349",Jan-21,HILLVIEW TERRACE,Resale,Strata,42,"14,524",-,Apartment,1,Freehold,23,Outside Central Region,06 to 10
J GATEWAY,"1,450,000",947.23,"1,531",Jan-21,GATEWAY DRIVE,Resale,Strata,88,"16,477",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,01 to 05
