Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE TRE VER,"1,651,000","1,011.82","1,632",Jul-20,POTONG PASIR AVENUE 1,New Sale,Strata,94,"17,564",-,Condominium,1,99 yrs lease commencing from 2018,13,Rest of Central Region,11 to 15
MEDGE,"1,290,000",958,"1,347",Jul-20,MINBU ROAD,Resale,Strata,89,"14,494",-,Apartment,1,Freehold,11,Core Central Region,16 to 20
18 WOODSVILLE,"1,320,000",818.06,"1,614",Jul-20,WOODSVILLE CLOSE,Resale,Strata,76,"17,368",-,Apartment,1,Freehold,13,Rest of Central Region,06 to 10
SKY@ELEVEN,"3,500,000","2,271.2","1,541",Jul-20,THOMSON LANE,Resale,Strata,211,"16,588",-,Condominium,1,Freehold,11,Core Central Region,06 to 10
SIMS URBAN OASIS,"720,000",462.85,"1,556",Jul-20,SIMS DRIVE,Resale,Strata,43,"16,744",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
THE TRE VER,"1,782,000","1,097.93","1,623",Jul-20,POTONG PASIR AVENUE 1,New Sale,Strata,102,"17,471",-,Condominium,1,99 yrs lease commencing from 2018,13,Rest of Central Region,11 to 15
PARC ESTA,"842,000",419.8,"2,006",Jul-20,SIMS AVENUE,New Sale,Strata,39,"21,590",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,16 to 20
SOLEIL @ SINARAN,"7,500,000","4,929.91","1,521",Jul-20,SINARAN DRIVE,Resale,Strata,458,"16,376",-,Condominium,1,99 yrs lease commencing from 2006,11,Core Central Region,36 to 40
WINDY HEIGHTS,"2,318,888","2,475.72",937,Jul-20,JALAN DAUD,Resale,Strata,230,"10,082",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
REGAL COURT,"926,000",914.94,"1,012",Jul-20,KIM KEAT ROAD,Resale,Strata,85,"10,894",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
THE ANTARES,"1,249,500",699.66,"1,786",Jul-20,MATTAR ROAD,New Sale,Strata,65,"19,223",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,01 to 05
SIMS URBAN OASIS,"705,000",441.32,"1,597",Jul-20,SIMS DRIVE,Resale,Strata,41,"17,195",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15
EUHABITAT,"696,000",559.73,"1,243",Jul-20,JALAN EUNOS,Resale,Strata,52,"13,385",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
THE TRE VER,"1,831,000","1,097.93","1,668",Jul-20,POTONG PASIR AVENUE 1,New Sale,Strata,102,"17,951",-,Condominium,1,99 yrs lease commencing from 2018,13,Rest of Central Region,16 to 20
PARC ESTA,"1,783,000","1,108.69","1,608",Jul-20,SIMS AVENUE,New Sale,Strata,103,"17,311",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,16 to 20
COSMO,"595,000",398.27,"1,494",Jul-20,GUILLEMARD CRESCENT,Resale,Strata,37,"16,081",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
LE CRESCENDO,"1,780,000","1,377.79","1,292",Jul-20,PAYA LEBAR ROAD,Resale,Strata,128,"13,906",-,Condominium,1,Freehold,14,Rest of Central Region,11 to 15
RESIDENTIAL APARTMENTS,"1,230,000","1,636.13",752,Jul-20,KIM KEAT CLOSE,Resale,Strata,152,"8,092",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
SKY@ELEVEN,"3,500,000","2,271.2","1,541",Jul-20,THOMSON LANE,Resale,Strata,211,"16,588",-,Condominium,1,Freehold,11,Core Central Region,11 to 15
LINCOLN SUITES,"6,800,000","4,897.62","1,388",Jul-20,KHIANG GUAN AVENUE,Resale,Strata,455,"14,945",-,Condominium,1,Freehold,11,Core Central Region,26 to 30
REZI 24,"848,000",505.91,"1,676",Jul-20,LORONG 24 GEYLANG,New Sale,Strata,47,"18,043",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
