Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE FLORENCE RESIDENCES,"1,021,000",721.19,"1,416",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,67,"15,239",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,399,000",990.29,"1,413",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,92,"15,207",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,706,000","1,270.15","1,343",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,118,"14,458",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"742,000",527.44,"1,407",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,49,"15,143",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,045,000",721.19,"1,449",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,67,"15,597",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,061,000",721.19,"1,471",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,67,"15,836",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
THE FLORENCE RESIDENCES,"1,007,000",721.19,"1,396",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,67,"15,030",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,507,000",990.29,"1,522",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,92,"16,380",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"957,000",667.37,"1,434",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,62,"15,435",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,031,000",721.19,"1,430",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,67,"15,388",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"934,000",635.08,"1,471",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,59,"15,831",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,348,000",936.47,"1,439",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,87,"15,494",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"985,000",667.37,"1,476",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,62,"15,887",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,845,000","1,280.92","1,440",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,119,"15,504",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,384,000",914.94,"1,513",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,85,"16,282",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"725,000",527.44,"1,375",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,49,"14,796",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"740,000",527.44,"1,403",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,49,"15,102",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,373,000","1,001.05","1,372",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,93,"14,763",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"689,000",484.38,"1,422",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,45,"15,311",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"750,000",527.44,"1,422",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,49,"15,306",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,389,000","1,011.82","1,373",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,94,"14,777",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,404,000","1,011.82","1,388",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,94,"14,936",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,400,000","1,001.05","1,399",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,93,"15,054",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,412,000","1,001.05","1,411",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,93,"15,183",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,424,000","1,001.05","1,423",Mar-19,HOUGANG AVENUE 2,New Sale,Strata,93,"15,312",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
