Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
MANDARIN GARDENS,"1,600,000","1,571.54","1,018",Oct-20,SIGLAP ROAD,Resale,Strata,146,"10,959",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,21 to 25
THE PALETTE,"1,180,000","1,151.75","1,025",Oct-20,PASIR RIS GROVE,Resale,Strata,107,"11,028",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
VERDALE,"1,734,100","1,011.82","1,714",Oct-20,DE SOUZA AVENUE,New Sale,Strata,94,"18,448",-,Apartment,1,99 yrs lease commencing from 2018,21,Rest of Central Region,01 to 05
KOVAN REGENCY,"827,000",592.02,"1,397",Oct-20,KOVAN RISE,Resale,Strata,55,"15,036",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
JADESCAPE,"2,217,750","1,259.39","1,761",Oct-20,SHUNFU ROAD,New Sale,Strata,117,"18,955",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,11 to 15
CLOVER BY THE PARK,"1,820,000","1,603.84","1,135",Oct-20,BISHAN STREET 25,Resale,Strata,149,"12,215",-,Condominium,1,99 yrs lease commencing from 2007,20,Rest of Central Region,11 to 15
FORETT AT BUKIT TIMAH,"1,880,000",979.52,"1,919",Oct-20,TOH TUCK ROAD,New Sale,Strata,91,"20,659",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
THE GARDEN RESIDENCES,"1,880,900","1,194.8","1,574",Oct-20,SERANGOON NORTH VIEW,New Sale,Strata,111,"16,945",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10
WATERTOWN,"810,000",570.49,"1,420",Oct-20,PUNGGOL CENTRAL,Resale,Strata,53,"15,283",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
THE GARDENS AT BISHAN,"961,200",882.65,"1,089",Oct-20,SIN MING WALK,Resale,Strata,82,"11,722",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,06 to 10
SEASTRAND,"1,050,000","1,108.69",947,Oct-20,PASIR RIS LINK,Resale,Strata,103,"10,194",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"873,600",473.62,"1,845",Oct-20,COMPASSVALE BOW,New Sale,Strata,44,"19,855",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE GARDEN RESIDENCES,"1,059,200",613.55,"1,726",Oct-20,SERANGOON NORTH VIEW,New Sale,Strata,57,"18,582",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"2,028,000","1,356.26","1,495",Oct-20,HOUGANG AVENUE 2,New Sale,Strata,126,"16,095",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
FLORIDIAN,"1,720,000",968.76,"1,775",Oct-20,BUKIT TIMAH ROAD,Resale,Strata,90,"19,111",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
BLU CORAL,"1,350,000","1,194.8","1,130",Oct-20,LORONG L TELOK KURAU,Resale,Strata,111,"12,162",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
ARCHIPELAGO,"680,000",527.44,"1,289",Oct-20,BEDOK RESERVOIR ROAD,Resale,Strata,49,"13,878",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
CHANGI GREEN,"1,520,000","1,334.74","1,139",Oct-20,UPPER CHANGI ROAD EAST,Resale,Strata,124,"12,258",-,Condominium,1,Freehold,16,Outside Central Region,06 to 10
EASTPOINT GREEN,"760,000",958,793,Oct-20,SIMEI STREET 3,Resale,Strata,89,"8,539",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
THOMSON THREE,"1,875,000","1,410.08","1,330",Oct-20,BRIGHT HILL DRIVE,Resale,Strata,131,"14,313",-,Apartment,1,99 yrs lease commencing from 2012,20,Rest of Central Region,21 to 25
HEDGES PARK CONDOMINIUM,"840,000",871.88,963,Oct-20,FLORA DRIVE,Resale,Strata,81,"10,370",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
SERAYA VILLE,"1,428,000","1,431.61",997,Oct-20,SERAYA LANE,Resale,Strata,133,"10,737",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LAKEVIEW ESTATE,"1,500,000","1,614.6",929,Oct-20,UPPER THOMSON ROAD,Resale,Strata,150,"10,000",-,Apartment,1,99 yrs lease commencing from 1977,20,Rest of Central Region,21 to 25
THE GARDENS AT BISHAN,"980,000",882.65,"1,110",Oct-20,SIN MING WALK,Resale,Strata,82,"11,951",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,06 to 10
