Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
STIRLING RESIDENCES,"1,327,000",764.24,"1,736",Apr-19,STIRLING ROAD,New Sale,Strata,71,"18,690",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
KENT RIDGE HILL RESIDENCES,"800,000",473.62,"1,689",Apr-19,SOUTH BUONA VISTA ROAD,New Sale,Strata,44,"18,182",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
WHISTLER GRAND,"1,393,200","1,065.64","1,307",Apr-19,WEST COAST VALE,New Sale,Strata,99,"14,073",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,11 to 15
MARGARET VILLE,"1,401,596",828.83,"1,691",Apr-19,MARGARET DRIVE,New Sale,Strata,77,"18,203",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
MARGARET VILLE,"1,406,496",828.83,"1,697",Apr-19,MARGARET DRIVE,New Sale,Strata,77,"18,266",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
STIRLING RESIDENCES,"1,188,000",656.6,"1,809",Apr-19,STIRLING ROAD,New Sale,Strata,61,"19,475",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,16 to 20
MARINA ONE RESIDENCES,"3,539,250","1,582.31","2,237",Apr-19,MARINA WAY,New Sale,Strata,147,"24,077",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,01 to 05
STIRLING RESIDENCES,"1,108,000",656.6,"1,687",Apr-19,STIRLING ROAD,New Sale,Strata,61,"18,164",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"1,128,000",656.6,"1,718",Apr-19,STIRLING ROAD,New Sale,Strata,61,"18,492",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
KENT RIDGE HILL RESIDENCES,"3,015,000","1,883.7","1,601",Apr-19,SOUTH BUONA VISTA ROAD,New Sale,Strata,175,"17,229",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
HERITAGE VIEW,"1,400,000","1,162.51","1,204",Apr-19,DOVER RISE,Resale,Strata,108,"12,963",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,16 to 20
WHISTLER GRAND,"1,267,650",990.29,"1,280",Apr-19,WEST COAST VALE,New Sale,Strata,92,"13,779",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,01 to 05
WHISTLER GRAND,"1,337,310",990.29,"1,350",Apr-19,WEST COAST VALE,New Sale,Strata,92,"14,536",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,16 to 20
SEAHILL,"900,000",624.31,"1,442",Apr-19,WEST COAST CRESCENT,Resale,Strata,58,"15,517",-,Condominium,1,99 yrs lease commencing from 2011,05,Outside Central Region,06 to 10
HARBOUR VIEW GARDENS,"1,500,000",979.52,"1,531",Apr-19,PASIR PANJANG ROAD,New Sale,Strata,91,"16,484",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
MARINA ONE RESIDENCES,"2,568,000","1,140.98","2,251",Apr-19,MARINA WAY,New Sale,Strata,106,"24,226",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,06 to 10
MARINA ONE RESIDENCES,"2,788,000","1,162.51","2,398",Apr-19,MARINA WAY,New Sale,Strata,108,"25,815",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,06 to 10
ASCENTIA SKY,"1,510,000","1,011.82","1,492",Apr-19,ALEXANDRA VIEW,Resale,Strata,94,"16,064",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,06 to 10
ALESSANDREA,"1,500,000","1,248.62","1,201",Apr-19,ALEXANDRA ROAD,Resale,Strata,116,"12,931",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
REGENCY SUITES,"2,290,000","1,420.85","1,612",Apr-19,KIM TIAN ROAD,Resale,Strata,132,"17,348",-,Apartment,1,Freehold,03,Rest of Central Region,11 to 15
DOVER PARKVIEW,"1,430,000","1,248.62","1,145",Apr-19,DOVER RISE,Resale,Strata,116,"12,328",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,11 to 15
THE ANCHORAGE,"2,460,000","1,550.02","1,587",Apr-19,ALEXANDRA ROAD,Resale,Strata,144,"17,083",-,Condominium,1,Freehold,03,Rest of Central Region,06 to 10
HERITAGE VIEW,"1,496,000","1,205.57","1,241",Apr-19,DOVER RISE,Resale,Strata,112,"13,357",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"1,335,000",764.24,"1,747",Apr-19,STIRLING ROAD,New Sale,Strata,71,"18,803",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
76 SHENTON,"1,680,000",979.52,"1,715",Apr-19,SHENTON WAY,Resale,Strata,91,"18,462",-,Apartment,1,99 yrs lease commencing from 2007,02,Core Central Region,06 to 10
CENTRAL GREEN CONDOMINIUM,"1,180,000",764.24,"1,544",Apr-19,JALAN MEMBINA,Resale,Strata,71,"16,620",-,Condominium,1,99 yrs lease commencing from 1992,03,Rest of Central Region,01 to 05
ASCENTIA SKY,"2,280,000","1,474.67","1,546",Apr-19,ALEXANDRA VIEW,Resale,Strata,137,"16,642",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,31 to 35
CORALS AT KEPPEL BAY,"19,000,000","7,394.87","2,569",Apr-19,KEPPEL BAY DRIVE,Resale,Strata,687,"27,656",-,Condominium,1,99 yrs lease commencing from 2007,04,Rest of Central Region,01 to 05
CORALS AT KEPPEL BAY,"1,856,000",861.12,"2,155",Apr-19,KEPPEL BAY DRIVE,Resale,Strata,80,"23,200",-,Condominium,1,99 yrs lease commencing from 2007,04,Rest of Central Region,06 to 10
WHISTLER GRAND,"1,451,520","1,065.64","1,362",Apr-19,WEST COAST VALE,New Sale,Strata,99,"14,662",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,21 to 25
MARGARET VILLE,"1,551,438",914.94,"1,696",Apr-19,MARGARET DRIVE,New Sale,Strata,85,"18,252",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
MARINA ONE RESIDENCES,"2,576,970","1,140.98","2,259",Apr-19,MARINA WAY,New Sale,Strata,106,"24,311",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,06 to 10
MARINA ONE RESIDENCES,"5,850,000","2,249.68","2,600",Apr-19,MARINA WAY,New Sale,Strata,209,"27,990",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,11 to 15
SOUTH BEACH RESIDENCES,"5,045,527","1,420.85","3,551",Apr-19,BEACH ROAD,Resale,Strata,132,"38,224",-,Apartment,1,99 yrs lease commencing from 2007,07,Core Central Region,36 to 40
BOTANNIA,"1,580,000","1,259.39","1,255",Apr-19,WEST COAST PARK,Resale,Strata,117,"13,504",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
CARABELLE,"2,575,000","2,077.45","1,239",Apr-19,WEST COAST WAY,Resale,Strata,193,"13,342",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,11 to 15
KENT RIDGE HILL RESIDENCES,"847,000",473.62,"1,788",Apr-19,SOUTH BUONA VISTA ROAD,New Sale,Strata,44,"19,250",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
ARTRA,"2,088,400","1,044.11","2,000",Apr-19,ALEXANDRA VIEW,New Sale,Strata,97,"21,530",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,31 to 35
WHISTLER GRAND,"888,570",602.78,"1,474",Apr-19,WEST COAST VALE,New Sale,Strata,56,"15,867",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,21 to 25
STIRLING RESIDENCES,"1,321,000",688.9,"1,918",Apr-19,STIRLING ROAD,New Sale,Strata,64,"20,641",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
MARINA ONE RESIDENCES,"2,713,590","1,280.92","2,118",Apr-19,MARINA WAY,New Sale,Strata,119,"22,803",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,06 to 10
SOUTH BEACH RESIDENCES,"5,298,000","1,593.07","3,326",Apr-19,BEACH ROAD,Resale,Strata,148,"35,797",-,Apartment,1,99 yrs lease commencing from 2007,07,Core Central Region,36 to 40
CONCOURSE SKYLINE,"2,394,578","1,151.75","2,079",Apr-19,BEACH ROAD,Resale,Strata,107,"22,379",-,Apartment,1,99 yrs lease commencing from 2008,07,Rest of Central Region,21 to 25
KENT RIDGE HILL RESIDENCES,"847,000",473.62,"1,788",Apr-19,SOUTH BUONA VISTA ROAD,New Sale,Strata,44,"19,250",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
ECHELON,"1,650,000","1,001.05","1,648",Apr-19,ALEXANDRA VIEW,Resale,Strata,93,"17,742",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,01 to 05
MARINA COLLECTION,"7,000,000","3,788.93","1,847",Apr-19,COVE DRIVE,Resale,Strata,352,"19,886",-,Condominium,1,99 yrs lease commencing from 2007,04,Core Central Region,01 to 05
THE INFINITI,"1,360,000","1,237.86","1,099",Apr-19,WEST COAST PARK,Resale,Strata,115,"11,826",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
REGENCY SUITES,"2,398,000","1,420.85","1,688",Apr-19,KIM TIAN ROAD,Resale,Strata,132,"18,167",-,Apartment,1,Freehold,03,Rest of Central Region,26 to 30
WHISTLER GRAND,"1,467,720","1,065.64","1,377",Apr-19,WEST COAST VALE,New Sale,Strata,99,"14,825",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,26 to 30
KENT RIDGE HILL RESIDENCES,"862,000",602.78,"1,430",Apr-19,SOUTH BUONA VISTA ROAD,New Sale,Strata,56,"15,393",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
WHISTLER GRAND,"910,440",602.78,"1,510",Apr-19,WEST COAST VALE,New Sale,Strata,56,"16,258",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,26 to 30
WHISTLER GRAND,"1,810,000","1,280.92","1,413",Apr-19,WEST COAST VALE,New Sale,Strata,119,"15,210",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,31 to 35
MARGARET VILLE,"1,691,872",968.76,"1,746",Apr-19,MARGARET DRIVE,New Sale,Strata,90,"18,799",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
STIRLING RESIDENCES,"1,433,000",764.24,"1,875",Apr-19,STIRLING ROAD,New Sale,Strata,71,"20,183",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
MARINA ONE RESIDENCES,"2,552,220","1,162.51","2,195",Apr-19,MARINA WAY,New Sale,Strata,108,"23,632",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,06 to 10
KENT RIDGE HILL RESIDENCES,"896,000",516.67,"1,734",Apr-19,SOUTH BUONA VISTA ROAD,New Sale,Strata,48,"18,667",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
