Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
ROYALGREEN,"2,788,000","1,065.64","2,616",Jan-21,ANAMALAI AVENUE,New Sale,Strata,99,"28,162",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
UPTOWN @ FARRER,"1,308,000",731.95,"1,787",Jan-21,PERUMAL ROAD,New Sale,Strata,68,"19,235",-,Apartment,1,99 yrs lease commencing from 2017,08,Rest of Central Region,06 to 10
UPTOWN @ FARRER,"1,436,000",731.95,"1,962",Jan-21,PERUMAL ROAD,New Sale,Strata,68,"21,118",-,Apartment,1,99 yrs lease commencing from 2017,08,Rest of Central Region,21 to 25
RV ALTITUDE,"1,621,000",570.49,"2,841",Jan-21,RIVER VALLEY ROAD,New Sale,Strata,53,"30,585",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
THE AVENIR,"1,613,000",538.2,"2,997",Jan-21,RIVER VALLEY CLOSE,New Sale,Strata,50,"32,260",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
THE AVENIR,"4,429,000","1,528.49","2,898",Jan-21,RIVER VALLEY CLOSE,New Sale,Strata,142,"31,190",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
MARTIN MODERN,"4,870,700","1,733","2,811",Jan-21,MARTIN PLACE,New Sale,Strata,161,"30,253",-,Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,26 to 30
GOODWOOD GRAND,"2,280,000",893.41,"2,552",Jan-21,BALMORAL ROAD,Resale,Strata,83,"27,470",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
SKYLINE 360 @ SAINT THOMAS WALK,"4,350,000","2,131.27","2,041",Jan-21,ST. THOMAS WALK,Resale,Strata,198,"21,970",-,Condominium,1,Freehold,09,Core Central Region,16 to 20
PARC CENTENNIAL,"1,600,000","1,162.51","1,376",Jan-21,KAMPONG JAVA ROAD,Resale,Strata,108,"14,815",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
NEWTON EDGE,"1,265,000",742.72,"1,703",Jan-21,MAKEWAY AVENUE,Resale,Strata,69,"18,333",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
CARLYX RESIDENCE,"1,369,888","1,001.05","1,368",Jan-21,CARLISLE ROAD,Resale,Strata,93,"14,730",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
ROYALGREEN,"1,818,000",667.37,"2,724",Jan-21,ANAMALAI AVENUE,New Sale,Strata,62,"29,323",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE TESSARINA,"1,780,000",990.29,"1,797",Jan-21,WILBY ROAD,Resale,Strata,92,"19,348",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
HAUS ON HANDY,"1,382,880",516.67,"2,677",Jan-21,HANDY ROAD,New Sale,Strata,48,"28,810",-,Condominium,1,99 yrs lease commencing from 2018,09,Core Central Region,11 to 15
CAIRNHILL RESIDENCES,"2,600,000","1,173.28","2,216",Jan-21,CAIRNHILL CIRCLE,Resale,Strata,109,"23,853",-,Apartment,1,Freehold,09,Core Central Region,16 to 20
TANGLIN REGENCY,"1,028,000",710.42,"1,447",Jan-21,TANGLIN ROAD,Resale,Strata,66,"15,576",-,Condominium,1,99 yrs lease commencing from 1994,10,Core Central Region,06 to 10
JUNIPER HILL,"2,429,000",914.94,"2,655",Jan-21,EWE BOON ROAD,New Sale,Strata,85,"28,576",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
KOPAR AT NEWTON,"1,252,000",516.67,"2,423",Jan-21,MAKEWAY AVENUE,New Sale,Strata,48,"26,083",-,Apartment,1,99 yrs lease commencing from 2019,09,Core Central Region,11 to 15
MARTIN MODERN,"4,800,000","1,797.59","2,670",Jan-21,MARTIN PLACE,Sub Sale,Strata,167,"28,743",-,Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,26 to 30
THE HERMITAGE,"1,520,000",850.36,"1,787",Jan-21,SARKIES ROAD,Resale,Strata,79,"19,241",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
FOURTH AVENUE RESIDENCES,"1,158,000",484.38,"2,391",Jan-21,FOURTH AVENUE,New Sale,Strata,45,"25,733",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,06 to 10
CITY SQUARE RESIDENCES,"1,870,000","1,216.33","1,537",Jan-21,KITCHENER LINK,Resale,Strata,113,"16,549",-,Condominium,1,Freehold,08,Rest of Central Region,16 to 20
