Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
FORTUNE PARK,"1,100,000",979.52,"1,123",Feb-24,TAMPINES ROAD,Resale,Strata,91,"12,088",-,Condominium,1,Freehold,19,Outside Central Region,06 to 10
BRADDELL VIEW,"1,580,000","1,453.14","1,087",Feb-24,BRADDELL HILL,Resale,Strata,135,"11,704",-,Apartment,1,103 yrs lease commencing from 1975,20,Rest of Central Region,11 to 15
DAINTREE RESIDENCE,"2,285,000","1,054.87","2,166",Feb-24,TOH TUCK ROAD,Resale,Strata,98,"23,316",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
THE RESERVE RESIDENCES,"4,247,192","1,625.36","2,613",Feb-24,JALAN ANAK BUKIT,New Sale,Strata,151,"28,127",-,Apartment,1,99 yrs lease commencing from 2021,21,Rest of Central Region,21 to 25
BARTLEY RESIDENCES,"1,370,000",796.54,"1,720",Feb-24,LORONG HOW SUN,Resale,Strata,74,"18,514",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
KOVAN RESIDENCES,"1,380,000",893.41,"1,545",Feb-24,KOVAN ROAD,Resale,Strata,83,"16,627",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
BISHAN PARK CONDOMINIUM,"1,950,000","1,474.67","1,322",Feb-24,SIN MING WALK,Resale,Strata,137,"14,234",-,Condominium,1,99 yrs lease commencing from 1991,20,Rest of Central Region,01 to 05
RIO VISTA,"1,480,000","1,248.62","1,185",Feb-24,UPPER SERANGOON VIEW,Resale,Strata,116,"12,759",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,11 to 15
TREASURE AT TAMPINES,"2,120,000","1,237.86","1,713",Feb-24,TAMPINES LANE,Sub Sale,Strata,115,"18,435",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
PINETREE HILL,"2,408,000",968.76,"2,486",Feb-24,PINE GROVE,New Sale,Strata,90,"26,756",-,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,06 to 10
RIVERSAILS,"1,188,000",882.65,"1,346",Feb-24,UPPER SERANGOON CRESCENT,Resale,Strata,82,"14,488",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
HAWAII TOWER,"4,000,000","2,238.91","1,787",Feb-24,MEYER ROAD,Resale,Strata,208,"19,231",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
AMBER SKYE,"3,200,000","1,334.74","2,397",Feb-24,AMBER ROAD,Resale,Strata,124,"25,806",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
THE BAYSHORE,"1,315,000",979.52,"1,342",Feb-24,BAYSHORE ROAD,Resale,Strata,91,"14,451",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,21 to 25
MANDARIN GARDENS,"2,180,000","1,571.54","1,387",Feb-24,SIGLAP ROAD,Resale,Strata,146,"14,932",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,16 to 20
BARTLEY VUE,"1,999,000","1,065.64","1,876",Feb-24,JALAN BUNGA RAMPAI,New Sale,Strata,99,"20,192",-,Apartment,1,99 yrs lease commencing from 2020,19,Rest of Central Region,01 to 05
THE PALETTE,"1,540,000","1,151.75","1,337",Feb-24,PASIR RIS GROVE,Resale,Strata,107,"14,393",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
THE MINTON,"1,380,000",979.52,"1,409",Feb-24,HOUGANG STREET 11,Resale,Strata,91,"15,165",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
RIZ HAVEN,"620,000",452.09,"1,371",Feb-24,JALAN LOYANG BESAR,Resale,Strata,42,"14,762",-,Apartment,1,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05
CHANGI RISE CONDOMINIUM,"1,188,000","1,130.22","1,051",Feb-24,SIMEI RISE,Resale,Strata,105,"11,314",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05
AFFINITY AT SERANGOON,"2,100,000","1,076.4","1,951",Feb-24,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,100,"21,000",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
OASIS @ ELIAS,"1,145,000",979.52,"1,169",Feb-24,ELIAS ROAD,Resale,Strata,91,"12,582",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
RIVERSOUND RESIDENCE,"1,400,000","1,065.64","1,314",Jan-24,SENGKANG EAST AVENUE,Resale,Strata,99,"14,141",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
ONE FORT,"2,500,000","1,205.57","2,074",Jan-24,FORT ROAD,Resale,Strata,112,"22,321",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
KI RESIDENCES AT BROOKVALE,"2,081,000",936.47,"2,222",Jan-24,BROOKVALE DRIVE,New Sale,Strata,87,"23,920",-,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,01 to 05
FORTUNE PARK,"1,450,000","1,184.04","1,225",Jan-24,TAMPINES ROAD,Resale,Strata,110,"13,182",-,Condominium,1,Freehold,19,Outside Central Region,06 to 10
BRADDELL VIEW,"1,770,000","1,862.17",951,Jan-24,BRADDELL HILL,Resale,Strata,173,"10,231",-,Apartment,1,102 yrs lease commencing from 1978,20,Rest of Central Region,01 to 05
COMPASS HEIGHTS,"1,280,000","1,054.87","1,213",Jan-24,SENGKANG SQUARE,Resale,Strata,98,"13,061",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,06 to 10
